comp wlog structure.volume Acharge Bcharge Ccharge dos_ef AColumn BColumn CColumn ARow BRow CRow AElectronegativity BElectronegativity CElectronegativity AAtomicWeight BAtomicWeight CAtomicWeight ACovalentRadius BCovalentRadius CCovalentRadius ASqrtAtomicWeight BSqrtAtomicWeight CSqrtAtomicWeight
InNSc3 343.0912 89.62936 0.44512 -0.72021 0.0917 2.90464 13.0 15.0 3.0 5.0 2.0 4.0 1.78 3.04 1.36 114.818 14.0067 44.955912 142.0 71.0 170.0 10.7153161409265 3.742552604840712 6.7049170017234365
AuHPd3 259.2422 66.37349 0.1778 -0.44314 0.08845 4.05121 11.0 1.0 10.0 6.0 1.0 5.0 2.54 2.2 2.2 196.966569 1.00794 106.42 136.0 31.0 139.0 14.03447786702448 1.0039621506809906 10.31600697944704
BiHRh3 182.0721 67.862 -0.42984 -0.43889 0.28958 3.3286 15.0 1.0 9.0 6.0 1.0 5.0 2.02 2.2 2.28 208.9804 1.00794 102.9055 148.0 31.0 142.0 14.456154398732744 1.0039621506809906 10.1442348158942
PbNCa3 181.4846 120.62427 0.66328 -0.65519 -0.0027 4.54843 14.0 15.0 2.0 6.0 2.0 4.0 2.33 3.04 1.0 207.2 14.0067 40.078 146.0 71.0 176.0 14.394443372357264 3.742552604840712 6.330718758561306
AlNSc3 336.6884 86.33191 -2.0115 -0.43817 0.81656 2.80628 13.0 15.0 3.0 3.0 2.0 4.0 1.61 3.04 1.36 26.9815386 14.0067 44.955912 121.0 71.0 170.0 5.194375669895276 3.742552604840712 6.7049170017234365
SnOCa3 258.5517 113.99587 0.73835 -0.06246 -0.2253 0.02067 14.0 16.0 2.0 5.0 2.0 4.0 1.96 3.44 1.0 118.71 15.9994 40.078 139.0 66.0 176.0 10.895411878400926 3.9999249992968617 6.330718758561306
SbHNi3 241.7639 54.118 -2.17776 -0.41054 0.86277 3.33955 15.0 1.0 10.0 5.0 1.0 4.0 2.05 2.2 1.91 121.76 1.00794 58.6934 139.0 31.0 124.0 11.034491379306978 1.0039621506809906 7.661161791791112
InHZr3 195.8156 90.38342 0.70949 -0.35439 -0.11837 2.79931 13.0 1.0 4.0 5.0 1.0 5.0 1.78 2.2 1.33 114.818 1.00794 91.224 142.0 31.0 175.0 10.7153161409265 1.0039621506809906 9.551125588117872
AgNCa3 147.0852 117.34236 0.65907 -0.57319 -0.02862 3.2541 11.0 15.0 2.0 5.0 2.0 4.0 1.93 3.04 1.0 107.8682 14.0067 40.078 145.0 71.0 176.0 10.38596167911282 3.742552604840712 6.330718758561306
HgHLi3 306.3437 68.38803 1.41774 -0.34218 -0.35852 1.41235 12.0 1.0 1.0 6.0 1.0 2.0 2.0 2.2 0.98 200.59 1.00794 6.941 132.0 31.0 128.0 14.162979912433682 1.0039621506809906 2.6345777650318087
ScBIr3 155.9397 71.5191 -0.17534 -0.64365 0.273 2.92751 3.0 13.0 9.0 4.0 2.0 6.0 1.36 2.04 2.2 44.955912 10.811 192.217 170.0 84.0 141.0 6.7049170017234365 3.2880085158040573 13.86423456235504
PbNSr3 137.1517 148.40664 0.82291 -0.62744 -0.06516 5.96918 14.0 15.0 2.0 6.0 2.0 5.0 2.33 3.04 0.95 207.2 14.0067 87.62 146.0 71.0 195.0 14.394443372357264 3.742552604840712 9.36055553906925
InBTi3 219.4837 81.42478 0.49662 -0.67908 0.06082 4.16846 13.0 13.0 4.0 5.0 2.0 4.0 1.78 2.04 1.54 114.818 10.811 47.867 142.0 84.0 160.0 10.7153161409265 3.2880085158040573 6.918598123897644
SnNSc3 297.2902 88.89438 0.36123 -0.74106 0.12661 3.17786 14.0 15.0 3.0 5.0 2.0 4.0 1.96 3.04 1.36 118.71 14.0067 44.955912 139.0 71.0 170.0 10.895411878400926 3.742552604840712 6.7049170017234365
