comp lambda structure.volume Acharge Bcharge Ccharge dos_ef AColumn BColumn CColumn ARow BRow CRow AElectronegativity BElectronegativity CElectronegativity AAtomicWeight BAtomicWeight CAtomicWeight ACovalentRadius BCovalentRadius CCovalentRadius ASqrtAtomicWeight BSqrtAtomicWeight CSqrtAtomicWeight
SnNCa3 0.1947 118.58479 0.82559 -0.66959 -0.052 4.76587 14.0 15.0 2.0 5.0 2.0 4.0 1.96 3.04 1.0 118.71 14.0067 40.078 139.0 71.0 176.0 10.895411878400926 3.742552604840712 6.330718758561306
SbHTi3 0.7255 71.519 -1.96009 -0.3379 0.766 6.33685 15.0 1.0 4.0 5.0 1.0 4.0 2.05 2.2 1.54 121.76 1.00794 47.867 139.0 31.0 160.0 11.034491379306978 1.0039621506809906 6.918598123897644
CdHZr3 0.5015 90.15276 0.45499 -0.34617 -0.03627 2.06384 12.0 1.0 4.0 5.0 1.0 5.0 1.69 2.2 1.33 112.411 1.00794 91.224 144.0 31.0 175.0 10.602405387458074 1.0039621506809906 9.551125588117872
InBNi3 0.4464 60.01805 -0.33648 -0.84886 0.39511 3.26674 13.0 13.0 10.0 5.0 2.0 4.0 1.78 2.04 1.91 114.818 10.811 58.6934 142.0 84.0 124.0 10.7153161409265 3.2880085158040573 7.661161791791112
PbCSc3 0.1617 95.12471 0.23724 -1.2501 0.33762 3.08557 14.0 14.0 3.0 6.0 2.0 4.0 2.33 2.55 1.36 207.2 12.0107 44.955912 146.0 76.0 170.0 14.394443372357264 3.4656456829860725 6.7049170017234365
GaOSc3 0.3439 83.11513 0.46704 -0.17928 -0.09592 2.48499 13.0 16.0 3.0 4.0 2.0 4.0 1.81 3.44 1.36 69.723 15.9994 44.955912 122.0 66.0 170.0 8.350029940066083 3.9999249992968617 6.7049170017234365
MgCRh3 0.2738 67.69809 -0.84055 -1.30453 0.71503 4.37518 2.0 14.0 9.0 3.0 2.0 5.0 1.31 2.55 2.28 24.305 12.0107 102.9055 141.0 76.0 142.0 4.930010141977397 3.4656456829860725 10.1442348158942
MgNZr3 0.4461 93.50509 -0.26033 -0.47595 0.24543 2.81402 2.0 15.0 4.0 3.0 2.0 5.0 1.31 3.04 1.33 24.305 14.0067 91.224 141.0 71.0 175.0 4.930010141977397 3.742552604840712 9.551125588117872
InOY3 0.3512 110.43743 0.58642 -0.0802 -0.16874 3.19926 13.0 16.0 3.0 5.0 2.0 5.0 1.78 3.44 1.22 114.818 15.9994 88.90585 142.0 66.0 190.0 10.7153161409265 3.9999249992968617 9.42898987166706
MgOY3 0.3719 114.26115 -0.29732 0.07767 0.07322 2.34577 2.0 16.0 3.0 3.0 2.0 5.0 1.31 3.44 1.22 24.305 15.9994 88.90585 141.0 66.0 190.0 4.930010141977397 3.9999249992968617 9.42898987166706
InCY3 0.3566 120.03973 0.75451 -1.20967 0.15172 0.29258 13.0 14.0 3.0 5.0 2.0 5.0 1.78 2.55 1.22 114.818 12.0107 88.90585 142.0 76.0 190.0 10.7153161409265 3.4656456829860725 9.42898987166706
CdBRh3 0.3979 71.29002 -0.03615 -0.75019 0.26211 4.41934 12.0 13.0 9.0 5.0 2.0 5.0 1.69 2.04 2.28 112.411 10.811 102.9055 144.0 84.0 142.0 10.602405387458074 3.2880085158040573 10.1442348158942
SnHCo3 0.1785 52.05539 -0.18836 -0.41403 0.2008 4.06997 14.0 1.0 9.0 5.0 1.0 4.0 1.96 2.2 1.88 118.71 1.00794 58.933195 139.0 31.0 126.0 10.895411878400926 1.0039621506809906 7.676795881095185
CdNTi3 0.3363 73.56258 0.27073 -0.62361 0.11763 5.03376 12.0 15.0 4.0 5.0 2.0 4.0 1.69 3.04 1.54 112.411 14.0067 47.867 144.0 71.0 160.0 10.602405387458074 3.742552604840712 6.918598123897644
TlCSc3 0.2114 94.67865 0.33981 -1.23107 0.29709 0.19478 13.0 14.0 3.0 6.0 2.0 4.0 1.62 2.55 1.36 204.3833 12.0107 44.955912 145.0 76.0 170.0 14.29626874397652 3.4656456829860725 6.7049170017234365
ZnHZr3 0.5259 84.96966 0.71712 -0.3331 -0.12801 2.21145 12.0 1.0 4.0 4.0 1.0 5.0 1.65 2.2 1.33 65.38 1.00794 91.224 122.0 31.0 175.0 8.085790004693418 1.0039621506809906 9.551125588117872
MgHZr3 0.5442 91.18298 -0.27045 -0.33569 0.20205 2.91695 2.0 1.0 4.0 3.0 1.0 5.0 1.31 2.2 1.33 24.305 1.00794 91.224 141.0 31.0 175.0 4.930010141977397 1.0039621506809906 9.551125588117872
InCNi3 0.64 57.93833 -0.03606 -1.32833 0.4548 3.67929 13.0 14.0 10.0 5.0 2.0 4.0 1.78 2.55 1.91 114.818 12.0107 58.6934 142.0 76.0 124.0 10.7153161409265 3.4656456829860725 7.661161791791112
InNY3 0.2158 112.81516 0.69902 -0.63965 -0.01979 2.48741 13.0 15.0 3.0 5.0 2.0 5.0 1.78 3.04 1.22 114.818 14.0067 88.90585 142.0 71.0 190.0 10.7153161409265 3.742552604840712 9.42898987166706
SbHNi3 0.2411 54.118 -2.17776 -0.41054 0.86277 3.33955 15.0 1.0 10.0 5.0 1.0 4.0 2.05 2.2 1.91 121.76 1.00794 58.6934 139.0 31.0 124.0 11.034491379306978 1.0039621506809906 7.661161791791112
AlHRh3 0.4881 58.83799 -2.15905 -0.37104 0.84336 4.11802 13.0 1.0 9.0 3.0 1.0 5.0 1.61 2.2 2.28 26.9815386 1.00794 102.9055 121.0 31.0 142.0 5.194375669895276 1.0039621506809906 10.1442348158942
ScBRh3 0.195 70.25113 -0.07719 -0.7193 0.2655 4.46404 3.0 13.0 9.0 4.0 2.0 5.0 1.36 2.04 2.28 44.955912 10.811 102.9055 170.0 84.0 142.0 6.7049170017234365 3.2880085158040573 10.1442348158942
ScHNi3 0.0684 52.76986 -0.10036 -0.42574 0.17537 0.34902 3.0 1.0 10.0 4.0 1.0 4.0 1.36 2.2 1.91 44.955912 1.00794 58.6934 170.0 31.0 124.0 6.7049170017234365 1.0039621506809906 7.661161791791112
NaBPd3 0.2078 75.35635 0.44152 -0.78782 0.11543 0.47589 1.0 13.0 10.0 3.0 2.0 5.0 0.93 2.04 2.2 22.98976928 10.811 106.42 166.0 84.0 139.0 4.794764778380687 3.2880085158040573 10.31600697944704
HfBCo3 0.1648 57.22751 -0.88762 -0.80099 0.56287 0.06774 4.0 13.0 9.0 6.0 2.0 4.0 1.3 2.04 1.88 178.49 10.811 58.933195 175.0 84.0 126.0 13.360014970051491 3.2880085158040573 7.676795881095185
TlCTi3 0.3208 77.37003 0.32643 -1.18893 0.2875 4.90621 13.0 14.0 4.0 6.0 2.0 4.0 1.62 2.55 1.54 204.3833 12.0107 47.867 145.0 76.0 160.0 14.29626874397652 3.4656456829860725 6.918598123897644
AsHTi3 0.9518 64.45945 -1.70431 -0.31149 0.67193 6.26859 15.0 1.0 4.0 4.0 1.0 4.0 2.18 2.2 1.54 74.9216 1.00794 47.867 119.0 31.0 160.0 8.655726428209247 1.0039621506809906 6.918598123897644
LiHPd3 0.2831 62.38938 -0.30031 -0.40574 0.23535 2.03063 1.0 1.0 10.0 2.0 1.0 5.0 0.98 2.2 2.2 6.941 1.00794 106.42 128.0 31.0 139.0 2.6345777650318087 1.0039621506809906 10.31600697944704
InHRh3 0.3646 64.30822 -0.07355 -0.43217 0.16858 3.87474 13.0 1.0 9.0 5.0 1.0 5.0 1.78 2.2 2.28 114.818 1.00794 102.9055 142.0 31.0 142.0 10.7153161409265 1.0039621506809906 10.1442348158942
SnHPd3 0.3489 68.49592 0.33632 -0.44472 0.03613 2.88184 14.0 1.0 10.0 5.0 1.0 5.0 1.96 2.2 2.2 118.71 1.00794 106.42 139.0 31.0 139.0 10.895411878400926 1.0039621506809906 10.31600697944704
HgHZr3 0.5169 89.07219 0.63043 -0.34613 -0.09477 2.09268 12.0 1.0 4.0 6.0 1.0 5.0 2.0 2.2 1.33 200.59 1.00794 91.224 132.0 31.0 175.0 14.162979912433682 1.0039621506809906 9.551125588117872
InBTi3 0.3858 81.42478 0.49662 -0.67908 0.06082 4.16846 13.0 13.0 4.0 5.0 2.0 4.0 1.78 2.04 1.54 114.818 10.811 47.867 142.0 84.0 160.0 10.7153161409265 3.2880085158040573 6.918598123897644
ScCRh3 0.6524 69.26662 0.16035 -1.2111 0.35025 0.2165 3.0 14.0 9.0 4.0 2.0 5.0 1.36 2.55 2.28 44.955912 12.0107 102.9055 170.0 76.0 142.0 6.7049170017234365 3.4656456829860725 10.1442348158942
GeHV3 0.5189 55.96843 0.05567 -0.32206 0.0888 1.76725 14.0 1.0 5.0 4.0 1.0 4.0 2.01 2.2 1.63 72.64 1.00794 50.9415 120.0 31.0 153.0 8.522910301065007 1.0039621506809906 7.137331434086552
HgHLi3 0.5004 68.38803 1.41774 -0.34218 -0.35852 1.41235 12.0 1.0 1.0 6.0 1.0 2.0 2.0 2.2 0.98 200.59 1.00794 6.941 132.0 31.0 128.0 14.162979912433682 1.0039621506809906 2.6345777650318087
SnNSc3 0.343 88.89438 0.36123 -0.74106 0.12661 3.17786 14.0 15.0 3.0 5.0 2.0 4.0 1.96 3.04 1.36 118.71 14.0067 44.955912 139.0 71.0 170.0 10.895411878400926 3.742552604840712 6.7049170017234365
TlHTi3 0.6169 73.22699 0.82223 -0.3406 -0.16054 4.89427 13.0 1.0 4.0 6.0 1.0 4.0 1.62 2.2 1.54 204.3833 1.00794 47.867 145.0 31.0 160.0 14.29626874397652 1.0039621506809906 6.918598123897644
AlOCa3 0.1942 114.0342 -1.98994 0.45273 0.5124 3.94197 13.0 16.0 2.0 3.0 2.0 4.0 1.61 3.44 1.0 26.9815386 15.9994 40.078 121.0 66.0 176.0 5.194375669895276 3.9999249992968617 6.330718758561306
HgCZr3 0.4532 95.54236 0.72484 -1.10389 0.12635 3.2983 12.0 14.0 4.0 6.0 2.0 5.0 2.0 2.55 1.33 200.59 12.0107 91.224 132.0 76.0 175.0 14.162979912433682 3.4656456829860725 9.551125588117872
SnHRh3 0.2992 64.24879 -0.05939 -0.42611 0.16183 2.52455 14.0 1.0 9.0 5.0 1.0 5.0 1.96 2.2 2.28 118.71 1.00794 102.9055 139.0 31.0 142.0 10.895411878400926 1.0039621506809906 10.1442348158942
TlBRh3 0.2701 73.11041 -0.43013 -0.86999 0.43337 4.50648 13.0 13.0 9.0 6.0 2.0 5.0 1.62 2.04 2.28 204.3833 10.811 102.9055 145.0 84.0 142.0 14.29626874397652 3.2880085158040573 10.1442348158942
InHTi3 0.5461 72.44059 0.94235 -0.33965 -0.2009 4.82378 13.0 1.0 4.0 5.0 1.0 4.0 1.78 2.2 1.54 114.818 1.00794 47.867 142.0 31.0 160.0 10.7153161409265 1.0039621506809906 6.918598123897644
YCRu3 0.3122 72.3651 -0.4938 -1.35158 0.61513 3.22631 3.0 14.0 8.0 5.0 2.0 5.0 1.22 2.55 2.2 88.90585 12.0107 101.07 190.0 76.0 146.0 9.42898987166706 3.4656456829860725 10.053357648069625
TlHPd3 0.0962 70.21566 0.34431 -0.44359 0.03309 0.27885 13.0 1.0 10.0 6.0 1.0 5.0 1.62 2.2 2.2 204.3833 1.00794 106.42 145.0 31.0 139.0 14.29626874397652 1.0039621506809906 10.31600697944704
InBRh3 0.2554 71.32751 -0.32586 -0.8423 0.38939 5.17183 13.0 13.0 9.0 5.0 2.0 5.0 1.78 2.04 2.28 114.818 10.811 102.9055 142.0 84.0 142.0 10.7153161409265 3.2880085158040573 10.1442348158942
AlCY3 0.399 117.33637 -2.02282 -0.98454 1.00245 0.53234 13.0 14.0 3.0 3.0 2.0 5.0 1.61 2.55 1.22 26.9815386 12.0107 88.90585 121.0 76.0 190.0 5.194375669895276 3.4656456829860725 9.42898987166706
