comp lambda structure.volume Acharge Bcharge Ccharge dos_ef AColumn BColumn CColumn ARow BRow CRow AElectronegativity BElectronegativity CElectronegativity AAtomicWeight BAtomicWeight CAtomicWeight ACovalentRadius BCovalentRadius CCovalentRadius ASqrtAtomicWeight BSqrtAtomicWeight CSqrtAtomicWeight
HgHHf3 0.3972 85.93564 0.66175 -0.3473 -0.10482 1.9441 12.0 1.0 4.0 6.0 1.0 6.0 2.0 2.2 1.3 200.59 1.00794 178.49 132.0 31.0 175.0 14.162979912433682 1.0039621506809906 13.360014970051491
HgNZr3 0.5388 91.95452 0.68148 -0.54755 -0.04465 4.45789 12.0 15.0 4.0 6.0 2.0 5.0 2.0 3.04 1.33 200.59 14.0067 91.224 132.0 71.0 175.0 14.162979912433682 3.742552604840712 9.551125588117872
YHRh3 0.3647 68.34106 -0.29859 -0.44866 0.24908 3.8789 3.0 1.0 9.0 5.0 1.0 5.0 1.22 2.2 2.28 88.90585 1.00794 102.9055 190.0 31.0 142.0 9.42898987166706 1.0039621506809906 10.1442348158942
HgCZr3 0.4532 95.54236 0.72484 -1.10389 0.12635 3.2983 12.0 14.0 4.0 6.0 2.0 5.0 2.0 2.55 1.33 200.59 12.0107 91.224 132.0 76.0 175.0 14.162979912433682 3.4656456829860725 9.551125588117872
GeNCa3 0.2369 112.21471 0.73182 -0.63301 -0.03294 4.56749 14.0 15.0 2.0 4.0 2.0 4.0 2.01 3.04 1.0 72.64 14.0067 40.078 120.0 71.0 176.0 8.522910301065007 3.742552604840712 6.330718758561306
AlBSc3 0.5454 100.47961 -2.04505 -0.64336 0.89614 7.31992 13.0 13.0 3.0 3.0 2.0 4.0 1.61 2.04 1.36 26.9815386 10.811 44.955912 121.0 84.0 170.0 5.194375669895276 3.2880085158040573 6.7049170017234365
ScBIr3 0.254 71.5191 -0.17534 -0.64365 0.273 2.92751 3.0 13.0 9.0 4.0 2.0 6.0 1.36 2.04 2.2 44.955912 10.811 192.217 170.0 84.0 141.0 6.7049170017234365 3.2880085158040573 13.86423456235504
InCSc3 0.2049 94.6812 0.44862 -1.24218 0.26452 0.26194 13.0 14.0 3.0 5.0 2.0 4.0 1.78 2.55 1.36 114.818 12.0107 44.955912 142.0 76.0 170.0 10.7153161409265 3.4656456829860725 6.7049170017234365
InOSc3 0.2962 88.669 0.41513 -0.18465 -0.07683 3.59325 13.0 16.0 3.0 5.0 2.0 4.0 1.78 3.44 1.36 114.818 15.9994 44.955912 142.0 66.0 170.0 10.7153161409265 3.9999249992968617 6.7049170017234365
ZnHRh3 0.4134 59.23183 -0.00798 -0.40262 0.13687 3.41902 12.0 1.0 9.0 4.0 1.0 5.0 1.65 2.2 2.28 65.38 1.00794 102.9055 122.0 31.0 142.0 8.085790004693418 1.0039621506809906 10.1442348158942
ZnHTi3 0.4908 66.04171 0.48735 -0.3304 -0.05232 2.32274 12.0 1.0 4.0 4.0 1.0 4.0 1.65 2.2 1.54 65.38 1.00794 47.867 122.0 31.0 160.0 8.085790004693418 1.0039621506809906 6.918598123897644
AlCY3 0.399 117.33637 -2.02282 -0.98454 1.00245 0.53234 13.0 14.0 3.0 3.0 2.0 5.0 1.61 2.55 1.22 26.9815386 12.0107 88.90585 121.0 76.0 190.0 5.194375669895276 3.4656456829860725 9.42898987166706
SnBSc3 0.2658 100.88774 0.20157 -0.83997 0.2128 0.36707 14.0 13.0 3.0 5.0 2.0 4.0 1.96 2.04 1.36 118.71 10.811 44.955912 139.0 84.0 170.0 10.895411878400926 3.2880085158040573 6.7049170017234365
HfHRh3 0.2211 63.41208 -0.42366 -0.42135 0.28167 2.41583 4.0 1.0 9.0 6.0 1.0 5.0 1.3 2.2 2.28 178.49 1.00794 102.9055 175.0 31.0 142.0 13.360014970051491 1.0039621506809906 10.1442348158942
InHNb3 0.7119 77.16933 0.58981 -0.35004 -0.07993 2.35439 13.0 1.0 5.0 5.0 1.0 5.0 1.78 2.2 1.6 114.818 1.00794 92.90638 142.0 31.0 164.0 10.7153161409265 1.0039621506809906 9.638795567911998
AuHLi3 0.3448 62.04796 1.35767 -0.32077 -0.34563 1.43638 11.0 1.0 1.0 6.0 1.0 2.0 2.54 2.2 0.98 196.966569 1.00794 6.941 136.0 31.0 128.0 14.03447786702448 1.0039621506809906 2.6345777650318087
InBRh3 0.2554 71.32751 -0.32586 -0.8423 0.38939 5.17183 13.0 13.0 9.0 5.0 2.0 5.0 1.78 2.04 2.28 114.818 10.811 102.9055 142.0 84.0 142.0 10.7153161409265 3.2880085158040573 10.1442348158942
ZrBRh3 0.126 71.22843 -0.93843 -0.83171 0.59004 0.05431 4.0 13.0 9.0 5.0 2.0 5.0 1.33 2.04 2.28 91.224 10.811 102.9055 175.0 84.0 142.0 9.551125588117872 3.2880085158040573 10.1442348158942
ZrBCo3 0.1838 58.2347 -1.19438 -0.84341 0.67927 0.1234 4.0 13.0 9.0 5.0 2.0 4.0 1.33 2.04 1.88 91.224 10.811 58.933195 175.0 84.0 126.0 9.551125588117872 3.2880085158040573 7.676795881095185
SbOBa3 0.3371 162.97397 -1.84817 0.46185 0.46211 2.81071 15.0 16.0 2.0 5.0 2.0 6.0 2.05 3.44 0.89 121.76 15.9994 137.327 139.0 66.0 215.0 11.034491379306978 3.9999249992968617 11.718660332990286
ZrHRh3 0.2525 64.36195 -0.50399 -0.42612 0.31004 2.80426 4.0 1.0 9.0 5.0 1.0 5.0 1.33 2.2 2.28 91.224 1.00794 102.9055 175.0 31.0 142.0 9.551125588117872 1.0039621506809906 10.1442348158942
AgHLi3 0.352 65.05264 1.28253 -0.32615 -0.31879 1.60492 11.0 1.0 1.0 5.0 1.0 2.0 1.93 2.2 0.98 107.8682 1.00794 6.941 145.0 31.0 128.0 10.38596167911282 1.0039621506809906 2.6345777650318087
SnNCa3 0.1947 118.58479 0.82559 -0.66959 -0.052 4.76587 14.0 15.0 2.0 5.0 2.0 4.0 1.96 3.04 1.0 118.71 14.0067 40.078 139.0 71.0 176.0 10.895411878400926 3.742552604840712 6.330718758561306
